timestamp,Conductivity0-μS/cm,RDO0-mg/l,TSS0-mg/l,Turbidity0-NTU
2022-08-03 06:42:43.827000+00:00,0.0,7.95,0.4,
2022-08-03 06:42:43.852000+00:00,0.0,7.95,0.4,
2022-08-05 06:39:18.539000+00:00,791.27,6.59,0.0,
2022-08-05 06:39:22.248000+00:00,,,,0.007
2022-08-05 06:54:12.761000+00:00,799.96,6.66,0.0,
2022-08-05 06:54:12.787000+00:00,799.96,6.66,0.0,
2022-08-05 06:54:17.640000+00:00,,,,0.0
2022-08-05 06:54:17.664000+00:00,,,,0.0
2022-08-05 07:09:24.899000+00:00,809.61,6.57,0.0,
2022-08-05 07:09:24.909000+00:00,809.61,6.57,0.0,
2022-08-05 07:09:28.905000+00:00,809.61,6.57,0.0,
2022-08-05 07:09:28.954000+00:00,809.61,6.57,0.0,
2022-08-05 07:09:32.936000+00:00,809.61,6.57,0.0,
2022-08-05 07:09:36.674000+00:00,,,,0.0
2022-08-05 07:09:40.695000+00:00,,,,0.0
2022-08-05 07:09:44.695000+00:00,,,,0.0
2022-08-05 07:24:12.920000+00:00,814.25,6.62,0.0,
2022-08-05 07:24:16.923000+00:00,814.25,6.62,0.0,
2022-08-05 07:24:20.964000+00:00,814.25,6.62,0.0,
2022-08-05 07:24:20.990000+00:00,814.25,6.62,0.0,
2022-08-05 07:24:24.681000+00:00,,,,0.0
2022-08-05 07:24:28.718000+00:00,,,,0.0
2022-08-05 07:24:32.686000+00:00,,,,0.0
2022-08-05 07:39:02.894000+00:00,811.91,6.65,0.16,
2022-08-05 07:39:06.961000+00:00,811.91,6.65,0.16,
2022-08-05 07:39:06.980000+00:00,811.91,6.65,0.16,
2022-08-05 07:39:11.003000+00:00,811.91,6.65,0.16,
2022-08-05 07:39:14.695000+00:00,,,,0.226
2022-08-05 07:39:14.701000+00:00,,,,0.226
2022-08-05 07:39:18.690000+00:00,,,,0.226
2022-08-05 07:39:18.739000+00:00,,,,0.226
2022-08-05 07:39:22.703000+00:00,,,,0.226
2022-08-05 07:53:54.926000+00:00,812.07,6.51,0.06,
2022-08-05 07:53:54.960000+00:00,812.07,6.51,0.06,
2022-08-05 07:53:58.981000+00:00,812.07,6.51,0.06,
2022-08-05 07:53:58.984000+00:00,812.07,6.51,0.06,
2022-08-05 07:54:02.977000+00:00,812.07,6.51,0.06,
2022-08-05 07:54:02.998000+00:00,812.07,6.51,0.06,
2022-08-05 07:54:06.716000+00:00,,,,0.091
2022-08-05 07:54:06.722000+00:00,,,,0.091
