timestamp,ndvi-nir-out0-W/m2,ndvi-red-out0-W/m2,ndvi0
2022-06-02 07:04:40.621000+00:00,0.007,343357.533,
2022-06-02 07:19:07.451000+00:00,0.008,0.017,
2022-06-02 07:34:25.641000+00:00,0.008,0.016,
2022-06-06 17:03:12.079000+00:00,0.007,0.014,-0.333
2022-06-06 17:07:55.405000+00:00,0.007,0.014,-0.333
2022-06-07 09:32:51.673000+00:00,0.007,0.014,-0.333
2022-06-07 09:40:42.423000+00:00,0.007,0.015,-0.364
2022-06-07 09:42:32.841000+00:00,0.007,0.014,-0.333
2022-06-07 09:44:35.770000+00:00,0.007,0.014,-0.333
2022-06-07 09:46:28.960000+00:00,0.007,0.014,-0.333
2022-06-09 08:36:29.281000+00:00,0.046,0.092,-0.333
2022-06-09 08:36:29.331000+00:00,0.046,0.092,-0.333
2022-06-09 08:51:39.376000+00:00,0.049,0.097,-0.329
2022-06-09 09:06:23.203000+00:00,0.05,0.101,-0.338
2022-06-09 09:21:26.226000+00:00,0.055,0.109,-0.329
2022-06-09 09:36:44.399000+00:00,0.044,0.088,-0.333
2022-06-09 09:51:37.409000+00:00,0.052,0.103,-0.329
2022-06-09 10:06:56.418000+00:00,0.069,0.138,-0.333
2022-06-09 10:22:06.199000+00:00,0.069,0.138,-0.333
2022-06-09 10:36:47.445000+00:00,0.022,0.044,-0.333
2022-06-09 10:51:52.469000+00:00,0.013,0.026,-0.333
2022-06-09 11:07:06.273000+00:00,0.009,0.017,-0.308
2022-06-09 11:07:06.279000+00:00,0.009,0.017,-0.308
2022-06-09 11:22:14.473000+00:00,0.008,0.015,-0.304
2022-06-09 11:37:03.306000+00:00,0.007,0.014,-0.333
2022-06-09 11:51:59.325000+00:00,0.007,0.015,-0.364
2022-06-09 12:22:53.515000+00:00,0.007,0.015,-0.364
2022-06-09 12:52:25.291000+00:00,0.013,0.026,-0.333
2022-06-09 14:22:55.576000+00:00,0.009,0.018,-0.333
2022-06-09 14:37:45.582000+00:00,0.009,0.018,-0.333
2022-06-09 14:52:20.424000+00:00,0.031,0.062,-0.333
2022-06-09 15:07:10.433000+00:00,0.021,0.042,-0.333
2022-06-09 15:22:00.444000+00:00,0.013,0.026,-0.333
2022-06-09 15:37:03.618000+00:00,0.01,0.02,-0.333
2022-06-09 15:52:08.654000+00:00,0.01,0.02,-0.333
2022-06-09 16:07:07.474000+00:00,0.008,0.016,-0.333
2022-06-09 16:07:12.489000+00:00,0.008,0.016,-0.333
2022-06-09 16:22:15.668000+00:00,0.009,0.018,-0.333
2022-06-09 16:37:08.666000+00:00,0.009,0.018,-0.333
2022-06-09 16:52:29.689000+00:00,0.009,0.018,-0.333
2022-06-09 17:07:19.703000+00:00,0.009,0.017,-0.308
2022-06-09 17:22:37.699000+00:00,0.008,0.016,-0.333
2022-06-09 17:37:33.521000+00:00,0.007,0.014,-0.333
2022-06-09 17:52:54.730000+00:00,0.007,0.014,-0.333
2022-06-09 18:08:08.550000+00:00,0.007,0.013,-0.3
2022-06-09 18:23:00.746000+00:00,0.007,0.014,-0.333
2022-06-09 18:38:19.759000+00:00,0.007,0.013,-0.3
2022-06-09 18:52:56.773000+00:00,0.006,0.011,-0.294
2022-06-09 19:08:01.584000+00:00,0.006,0.012,-0.333
2022-06-09 19:22:55.831000+00:00,0.007,0.015,-0.364
2022-06-09 19:37:41.811000+00:00,0.006,0.012,-0.333
2022-06-09 19:52:29.837000+00:00,0.007,0.014,-0.333
2022-06-09 20:07:14.810000+00:00,0.006,0.013,-0.368
2022-06-09 20:22:24.844000+00:00,0.007,0.014,-0.333
2022-06-09 20:37:23.677000+00:00,0.006,0.012,-0.333
2022-06-09 20:52:10.671000+00:00,0.005,0.011,-0.375
2022-06-09 21:22:50.696000+00:00,0.007,0.013,-0.3
2022-06-09 21:37:59.711000+00:00,0.006,0.012,-0.333
2022-06-09 21:52:49.904000+00:00,0.006,0.013,-0.368
2022-06-09 22:07:52.919000+00:00,0.006,0.012,-0.333
2022-06-09 22:22:54.751000+00:00,0.005,0.011,-0.375
2022-06-09 22:37:53.963000+00:00,0.007,0.014,-0.333
2022-06-09 22:53:15.950000+00:00,0.006,0.012,-0.333
2022-06-09 23:08:27.791000+00:00,0.006,0.012,-0.333
2022-06-09 23:23:49.801000+00:00,0.006,0.011,-0.294
2022-06-09 23:39:17.944000+00:00,0.007,0.013,-0.3
2022-06-09 23:54:27.025000+00:00,0.007,0.014,-0.333
2022-06-10 00:09:55.046000+00:00,0.006,0.012,-0.333
2022-06-10 00:24:33.870000+00:00,0.005,0.009,-0.286
2022-06-10 00:39:13.002000+00:00,0.006,0.013,-0.368
2022-06-10 00:54:12.878000+00:00,0.007,0.013,-0.3
2022-06-10 01:09:03.077000+00:00,0.006,0.012,-0.333
2022-06-10 01:24:07.064000+00:00,0.006,0.013,-0.368
2022-06-10 01:38:45.946000+00:00,0.006,0.013,-0.368
2022-06-10 01:38:55.996000+00:00,0.006,0.013,-0.368
2022-06-10 01:53:20.930000+00:00,0.008,0.016,-0.333
2022-06-10 02:08:29.131000+00:00,0.006,0.012,-0.333
2022-06-10 02:23:25.944000+00:00,0.007,0.014,-0.333
2022-06-10 02:38:16.994000+00:00,0.007,0.015,-0.364
2022-06-10 03:08:32.176000+00:00,0.007,0.014,-0.333
2022-06-10 03:38:15.011000+00:00,0.008,0.015,-0.304
2022-06-10 03:53:10.213000+00:00,0.008,0.016,-0.333
2022-06-10 04:08:18.033000+00:00,0.008,0.015,-0.304
2022-06-10 04:38:41.248000+00:00,0.008,0.016,-0.333
2022-06-10 04:53:33.260000+00:00,0.007,0.014,-0.333
2022-06-10 05:08:28.304000+00:00,0.007,0.014,-0.333
2022-06-10 05:23:30.285000+00:00,0.007,0.013,-0.3
2022-06-10 05:38:39.244000+00:00,0.007,0.015,-0.364
2022-06-10 05:53:35.313000+00:00,0.007,0.013,-0.3
2022-06-10 06:08:55.165000+00:00,0.006,0.011,-0.294
2022-06-10 06:23:52.339000+00:00,0.007,0.015,-0.364
2022-06-10 06:38:32.353000+00:00,0.007,0.014,-0.333
2022-06-10 06:53:44.182000+00:00,0.007,0.014,-0.333
2022-06-10 07:08:38.208000+00:00,0.006,0.011,-0.294
2022-06-10 07:23:27.412000+00:00,0.007,0.014,-0.333
2022-06-10 07:38:34.406000+00:00,0.006,0.013,-0.368
2022-06-10 07:53:40.182000+00:00,0.007,0.014,-0.333
2022-06-10 08:08:50.246000+00:00,0.006,0.012,-0.333
2022-06-10 08:24:09.423000+00:00,0.007,0.014,-0.333
2022-06-10 08:38:56.459000+00:00,0.007,0.013,-0.3
2022-06-10 08:53:53.463000+00:00,0.007,0.014,-0.333
2022-06-10 09:08:36.668000+00:00,0.008,0.016,-0.333
2022-06-10 09:23:46.478000+00:00,0.007,0.013,-0.3
2022-06-10 09:39:00.479000+00:00,0.008,0.016,-0.333
2022-06-10 09:54:02.322000+00:00,0.008,0.015,-0.304
2022-06-10 10:09:23.513000+00:00,0.008,0.017,-0.36
2022-06-10 10:23:52.559000+00:00,0.021,0.042,-0.333
2022-06-10 10:38:40.550000+00:00,0.022,0.043,-0.323
2022-06-10 10:53:19.369000+00:00,0.019,0.038,-0.333
2022-06-10 11:08:10.512000+00:00,0.025,0.051,-0.342
2022-06-10 11:08:10.566000+00:00,0.025,0.051,-0.342
2022-06-10 11:23:38.399000+00:00,0.079,0.158,-0.333
2022-06-10 11:39:08.831000+00:00,0.077,0.155,-0.336
2022-06-10 11:39:15.862000+00:00,0.077,0.155,-0.336
2022-06-10 11:39:22.941000+00:00,0.077,0.155,-0.336
2022-06-10 11:39:22.947000+00:00,0.077,0.155,-0.336
2022-06-10 11:53:51.738000+00:00,0.039,0.078,-0.333
2022-06-10 11:53:58.691000+00:00,0.039,0.078,-0.333
2022-06-10 11:54:05.758000+00:00,0.039,0.078,-0.333
2022-06-10 12:08:39.929000+00:00,0.032,0.064,-0.333
2022-06-10 12:08:39.930000+00:00,0.032,0.064,-0.333
2022-06-10 12:08:47.022000+00:00,0.032,0.064,-0.333
2022-06-10 12:08:47.025000+00:00,0.032,0.064,-0.333
2022-06-10 12:08:53.949000+00:00,0.032,0.064,-0.333
2022-06-10 12:23:18.930000+00:00,0.05,0.1,-0.333
2022-06-10 12:23:25.938000+00:00,0.05,0.1,-0.333
2022-06-10 12:23:32.986000+00:00,0.05,0.1,-0.333
2022-06-10 12:23:32.987000+00:00,0.05,0.1,-0.333
2022-06-10 12:38:48.932000+00:00,0.063,0.126,-0.333
2022-06-10 12:38:55.954000+00:00,0.063,0.126,-0.333
2022-06-10 12:38:55.955000+00:00,0.063,0.126,-0.333
2022-06-10 12:39:02.966000+00:00,0.063,0.126,-0.333
2022-06-10 12:53:21.742000+00:00,0.026,0.052,-0.333
2022-06-10 12:53:28.874000+00:00,0.026,0.052,-0.333
2022-06-10 12:53:28.877000+00:00,0.026,0.052,-0.333
2022-06-10 12:53:35.802000+00:00,0.026,0.052,-0.333
2022-06-10 12:53:35.803000+00:00,0.026,0.052,-0.333
