timestamp,soil-bulk-ec0-uS/cm,soil-moisture0-%,soil-temperature0-C
2022-05-20 17:19:27.787000+00:00,84.0,11.54,25.1
2022-05-20 17:24:41.796000+00:00,85.0,11.54,25.1
2022-05-20 17:29:12.976000+00:00,85.0,11.53,25.1
2022-05-20 17:33:46.975000+00:00,85.0,11.54,25.1
2022-05-20 17:38:51.786000+00:00,86.0,11.54,25.0
2022-05-20 17:43:32.791000+00:00,84.0,11.54,24.9
2022-05-20 17:48:11.785000+00:00,85.0,11.53,24.9
2022-05-20 17:58:25.784000+00:00,85.0,11.52,24.8
2022-05-20 18:03:20.794000+00:00,85.0,11.53,24.7
2022-05-20 18:08:16.983000+00:00,84.0,11.53,24.7
2022-05-20 18:13:06.788000+00:00,85.0,11.53,24.6
2022-05-20 18:17:58.788000+00:00,85.0,11.53,24.5
2022-05-20 18:22:49.790000+00:00,84.0,11.53,24.5
2022-05-20 18:27:43.789000+00:00,85.0,11.53,24.4
2022-05-20 18:32:48.790000+00:00,84.0,11.54,24.3
2022-05-20 18:38:17.992000+00:00,85.0,11.54,24.3
2022-05-20 18:42:54.992000+00:00,85.0,11.55,24.2
2022-05-20 18:47:54.784000+00:00,85.0,11.55,24.1
2022-05-20 18:52:50.789000+00:00,85.0,11.56,24.1
2022-05-20 18:57:38.989000+00:00,85.0,11.55,24.0
2022-05-20 19:02:33.988000+00:00,85.0,11.55,23.9
2022-05-20 19:07:23.993000+00:00,85.0,11.54,23.8
2022-05-20 19:11:56.997000+00:00,85.0,11.55,23.8
2022-05-20 19:16:36.788000+00:00,86.0,11.53,23.7
2022-05-20 19:21:22.791000+00:00,85.0,11.54,23.6
2022-05-20 19:26:36.791000+00:00,84.0,11.55,23.5
2022-05-20 19:31:13.972000+00:00,85.0,11.54,23.5
2022-05-20 19:35:52.983000+00:00,85.0,11.55,23.4
2022-05-20 19:41:07.792000+00:00,84.0,11.54,23.3
2022-05-20 19:46:15.979000+00:00,84.0,11.55,23.2
2022-05-20 19:51:40.569000+00:00,84.0,11.55,23.1
2022-05-20 19:56:54.796000+00:00,85.0,11.54,23.1
2022-05-20 20:01:43.986000+00:00,84.0,11.55,23.0
2022-05-20 20:07:05.991000+00:00,84.0,11.56,22.9
2022-05-20 20:12:33.806000+00:00,84.0,11.55,22.8
2022-05-20 20:17:42.990000+00:00,84.0,11.54,22.7
2022-05-20 20:22:15.803000+00:00,83.0,11.54,22.7
2022-05-20 20:26:50.996000+00:00,83.0,11.55,22.6
2022-05-20 20:32:01.997000+00:00,84.0,11.55,22.5
2022-05-20 20:36:42.992000+00:00,84.0,11.54,22.4
2022-05-20 20:41:36.809000+00:00,85.0,11.55,22.4
2022-05-20 20:46:25.809000+00:00,84.0,11.55,22.3
2022-05-20 20:51:19.486000+00:00,84.0,11.54,22.2
2022-05-20 20:56:28.815000+00:00,83.0,11.54,22.1
2022-05-20 21:01:50.810000+00:00,84.0,11.55,22.1
2022-05-20 21:06:30.012000+00:00,82.0,11.55,22.0
