timestamp,soil-moisture15-%,soil-moisture25-%,soil-moisture5-%,soil-salinity15-dS/m,soil-salinity25-dS/m,soil-salinity5-dS/m,soil-temperature15-C,soil-temperature25-C,soil-temperature5-C
2022-06-10 06:08:06.645000+00:00,29.163,16.571,26.93,,,,,,
2022-06-10 06:08:10.240000+00:00,,,,1571.194,1669.768,1776.23,,,
2022-06-10 06:08:13.925000+00:00,,,,,,,19.274,21.382,16.584
2022-06-10 06:22:54.614000+00:00,30.539,16.749,27.153,,,,,,
2022-06-10 06:22:58.254000+00:00,,,,1582.287,1671.463,1756.141,,,
2022-06-10 06:23:01.938000+00:00,,,,,,,19.227,21.306,16.584
2022-06-10 06:38:05.105000+00:00,32.435,16.874,27.214,,,,,,
2022-06-10 06:38:05.159000+00:00,32.435,16.874,27.214,,,,,,
2022-06-10 06:38:08.802000+00:00,,,,1611.671,1673.965,1764.904,,,
2022-06-10 06:38:12.431000+00:00,,,,,,,19.166,21.225,16.628
2022-06-10 06:52:41.630000+00:00,33.981,16.962,27.159,,,,,,
2022-06-10 06:52:45.327000+00:00,,,,1656.806,1676.432,1766.709,,,
2022-06-10 06:52:48.956000+00:00,,,,,,,19.178,21.2,16.679
2022-06-10 07:07:36.890000+00:00,35.454,17.05,27.293,,,,,,
2022-06-10 07:07:40.520000+00:00,,,,1713.315,1679.697,1761.52,,,
2022-06-10 07:07:44.159000+00:00,,,,,,,19.105,21.174,16.787
2022-06-10 07:22:10.703000+00:00,36.879,17.145,26.623,,,,,,
2022-06-10 07:22:14.349000+00:00,,,,1780.36,1678.903,1794.191,,,
2022-06-10 07:22:17.935000+00:00,,,,,,,18.88,21.001,16.782
2022-06-10 07:22:17.993000+00:00,,,,,,,18.88,21.001,16.782
2022-06-10 07:37:36.914000+00:00,37.678,17.241,26.094,,,,,,
2022-06-10 07:37:40.548000+00:00,,,,1859.001,1678.024,1803.745,,,
2022-06-10 07:37:44.188000+00:00,,,,,,,18.876,20.996,16.834
2022-06-10 07:52:39.733000+00:00,37.95,17.347,26.343,,,,,,
2022-06-10 07:52:43.327000+00:00,,,,1900.165,1678.166,1776.982,,,
2022-06-10 07:52:47.018000+00:00,,,,,,,18.914,20.996,16.812
2022-06-10 08:07:15.744000+00:00,38.493,17.471,27.232,,,,,,
2022-06-10 08:07:19.342000+00:00,,,,1940.67,1678.094,1750.266,,,
2022-06-10 08:07:23.022000+00:00,,,,,,,18.892,20.946,16.61
2022-06-10 08:22:10.764000+00:00,39.162,17.686,27.232,,,,,,
2022-06-10 08:22:14.356000+00:00,,,,1973.173,1673.229,1741.213,,,
2022-06-10 08:22:18.042000+00:00,,,,,,,18.758,20.819,16.554
2022-06-10 08:37:25.978000+00:00,39.673,18.064,27.354,,,,,,
2022-06-10 08:37:29.560000+00:00,,,,2004.983,1665.393,1737.837,,,
2022-06-10 08:37:33.247000+00:00,,,,,,,18.642,20.793,16.4
2022-06-10 08:52:45.792000+00:00,39.879,18.952,27.585,,,,,,
2022-06-10 08:52:49.436000+00:00,,,,2039.138,1645.493,1724.746,,,
2022-06-10 08:52:53.075000+00:00,,,,,,,18.642,20.793,16.4
2022-06-10 09:07:52.009000+00:00,40.072,20.291,27.524,,,,,,
2022-06-10 09:07:55.637000+00:00,,,,2060.835,1618.077,1738.38,,,
2022-06-10 09:07:59.273000+00:00,,,,,,,18.668,20.641,16.421
2022-06-10 09:22:40.825000+00:00,40.285,21.726,27.573,,,,,,
2022-06-10 09:22:44.455000+00:00,,,,2083.49,1591.412,1717.969,,,
2022-06-10 09:22:48.046000+00:00,,,,,,,18.49,20.59,16.396
