time,Wind speed 100 Hz,RH,Air temperature,Leaf Wetness,Soil conductivity_25cm,Soil conductivity_15cm,Soil conductivity_5cm,Soil temperature_25cm,Soil temperature_15cm,Soil temperature_5cm,Soil moisture_25cm,Soil moisture_15cm,Soil moisture_5cm,Precipitation,Pyranometer
2022-07-27 00:10:00+03:00,0.123395,67.02144,23.53476,0,1442.54,1669.633,2200.962,27.88259,29.63982,26.76786,11.91592,10.0415,2.127785,0,1.144427
2022-07-27 00:20:00+03:00,0.410872,65.17891,23.75601,0,1442.976,1666.222,2200.962,27.85663,29.51219,26.68734,11.91592,10.06334,2.137355,0,1.144427
2022-07-27 00:30:00+03:00,0.015341,67.85687,23.04265,0,1441.759,1667.55,2196.28,27.8047,29.48665,26.50651,11.93974,10.04774,2.145751,0,1.335164
2022-07-27 00:40:00+03:00,0.016675,67.43343,23.09987,0,1442.54,1665.28,2194.723,27.78459,29.30185,26.3501,11.91294,10.06023,2.151759,0,1.335164
2022-07-27 00:50:00+03:00,0.012006,67.5555,23.25628,0,1443.758,1665.913,2196.28,27.72683,29.28245,26.19791,11.91592,10.05086,2.158982,0,1.144427
2022-07-27 01:00:00+03:00,0.041354,67.58221,23.09987,0,1442.134,1664.589,2190.051,27.73266,29.2508,26.0429,11.92485,10.03838,2.160187,0,1.144427
2022-07-27 01:10:00+03:00,0,70.19913,22.356,0,1441.322,1665.22,2191.606,27.68074,29.07822,25.88521,11.9308,10.05397,2.167428,0,1.144427
2022-07-27 01:20:00+03:00,0,71.23293,22.14618,0,1442.134,1665.409,2191.606,27.72683,29.15595,25.67857,11.9308,10.02902,2.174683,0,1.144427
2022-07-27 01:30:00+03:00,0,71.26344,22.11948,0,1441.354,1663.146,2186.943,27.70087,28.93846,25.62518,11.92782,10.05086,2.172262,0,1.144427
2022-07-27 01:40:00+03:00,0.003335,71.62585,21.87915,0,1442.165,1662.643,2180.739,27.70087,28.93239,25.39821,11.92485,10.03838,2.183165,0,1.144427
2022-07-27 01:50:00+03:00,0.295481,71.24437,21.90203,0,1441.385,1663.705,2185.39,27.66061,28.88872,25.26653,11.92485,10.03214,2.194099,0,1.144427
2022-07-27 02:00:00+03:00,0.081374,72.78172,21.63501,0,1442.571,1661.7,2190.051,27.70087,28.80617,25.21366,11.91889,10.0415,2.195316,0,1.144427
2022-07-27 02:10:00+03:00,0.535601,72.25528,21.66934,0,1442.6,1663.888,2185.39,27.68074,28.72828,25.05001,11.91592,10.03838,2.196534,0,1.525902
2022-07-27 02:20:00+03:00,0.291479,71.73648,21.76471,0,1443.035,1660.94,2180.739,27.64895,28.57518,25.01197,11.91592,10.01968,2.203846,0,1.144427
2022-07-27 02:30:00+03:00,0.530932,71.96536,21.70367,0,1441.415,1661.813,2180.739,27.623,28.48511,24.82303,11.91592,10.02279,2.205066,0,1.144427
2022-07-27 02:40:00+03:00,0.430215,72.20569,21.64264,0,1443.411,1662.866,2177.642,27.57107,28.54367,24.84223,11.93676,10.01033,2.212395,0,1.144427
2022-07-27 02:50:00+03:00,0.388861,73.63623,21.33745,0,1441.849,1659.561,2176.094,27.47884,28.36507,24.62071,11.92485,10.02279,2.21974,0,1.144427
2022-07-27 03:00:00+03:00,0.51359,72.76646,21.45952,0,1440.635,1661.047,2180.739,27.55092,28.33957,24.58833,11.91592,10.01345,2.222191,0,1.144427
2022-07-27 03:10:00+03:00,0.712356,72.38879,21.62356,0,1440.666,1659.666,2182.285,27.4932,28.35313,24.49999,11.92485,10.01656,2.229554,0,1.144427
2022-07-27 03:20:00+03:00,0.139403,73.15938,21.45952,0,1441.07,1658.798,2173.003,27.4932,28.15505,24.49999,11.92187,10.01033,2.224644,0,1.144427
2022-07-27 03:30:00+03:00,0.042021,74.03296,21.29549,0,1441.878,1661.144,2182.285,27.4932,28.21371,24.34072,11.91294,10.001,2.235702,0,1.144427
2022-07-27 03:40:00+03:00,0.380857,75.49783,20.87587,1,1441.502,1660.019,2182.285,27.47305,28.08622,24.27827,11.91592,9.994781,2.239394,0,1.144427
2022-07-27 03:50:00+03:00,0.372186,74.19699,21.23446,0,1442.714,1658.896,2176.094,27.47305,27.99015,24.15361,11.90997,10.001,2.245558,0,1.144427
2022-07-27 04:00:00+03:00,0.052693,76.48203,20.58976,1,1442.337,1659.503,2177.642,27.47305,27.99015,24.1278,11.91294,10.001,2.246793,0,1.144427
2022-07-27 04:10:00+03:00,0.074037,77.80957,20.33799,1,1441.127,1657.085,2173.003,27.3634,27.80576,23.9739,11.90997,10.00411,2.257915,0,1.144427
2022-07-27 04:20:00+03:00,0,79.08369,20.04807,1,1440.724,1656.14,2174.55,27.26534,27.78616,23.89647,11.92485,9.991671,2.251731,0,1.144427
2022-07-27 04:30:00+03:00,0.137402,80.56001,19.88021,2,1439.513,1657.175,2171.462,27.31149,27.74103,23.75584,11.91592,9.994781,2.261631,0,1.144427
2022-07-27 04:40:00+03:00,0.192096,79.48805,19.89929,2,1441.155,1656.486,2176.094,27.28553,27.63901,23.71045,11.91294,10.001,2.264109,0,1.144427
2022-07-27 04:50:00+03:00,0.399533,80.36546,19.72,2,1441.182,1656.227,2173.003,27.28553,27.60179,23.52008,11.90997,9.988557,2.27404,0,1.144427
2022-07-27 05:00:00+03:00,0.482908,80.4036,19.70474,2,1439.945,1657.255,2179.189,27.28553,27.57629,23.42829,11.90402,9.982343,2.276527,0,1.144427
2022-07-27 05:10:00+03:00,0.456895,80.49516,19.71618,2,1439.974,1654.679,2168.377,27.15573,27.44881,23.36356,11.91294,9.994781,2.27777,0,1.144427
2022-07-27 05:20:00+03:00,0.196765,80.26627,19.88021,3,1440.001,1654.591,2165.293,27.10381,27.39782,23.31722,11.91889,9.98545,2.282751,0,1.144427
2022-07-27 05:30:00+03:00,0.430215,80.31205,19.73144,3,1438.794,1655.615,2171.462,27.07786,27.39782,23.15718,11.91889,9.973021,2.287737,0,1.144427
2022-07-27 05:40:00+03:00,0.590295,81.70061,19.49874,3,1439.626,1652.36,2163.758,27.07786,27.32133,23.15718,11.91294,10.00722,2.293979,0,1.144427
2022-07-27 05:50:00+03:00,0.395531,81.03304,19.66278,3,1440.055,1652.696,2165.293,27.07786,27.19385,23.0024,11.90699,9.982343,2.300232,0,1.144427
2022-07-27 06:00:00+03:00,0.390862,79.86572,19.88784,2,1439.653,1653.549,2165.293,27.07786,27.19385,22.93021,11.90699,9.976128,2.298981,0,1.144427
2022-07-27 06:10:00+03:00,0.54694,80.28916,19.77722,3,1439.278,1652.436,2165.293,27.02594,27.16834,22.90073,11.90402,9.98545,2.300232,0,1.71664
