name,time,city,city_id,cloudiness,condition_description,condition_icon,condition_id,condition_main,country,forecast,host,humidity,pressure,rain,sunrise,sunset,temperature,visibility,wind_degrees,wind_speed
weather,2022-01-18T21:13:51Z,Kozani,8133764,0,clear sky,01n,800,Clear,GR,*,ip-172-31-46-198,43,1028,0,1642571498000000000,1642606476000000000,-0.19,10000,350,5.14
weather,2022-01-18T22:13:51Z,Kozani,8133764,0,clear sky,01n,800,Clear,GR,*,ip-172-31-46-198,51,1029,0,1642571498000000000,1642606476000000000,-1.02,10000,20,3.6
weather,2022-01-18T23:13:54Z,Kozani,8133764,0,clear sky,01n,800,Clear,GR,*,ip-172-31-46-198,54,1029,0,1642571498000000000,1642606476000000000,-1.92,10000,320,2.57
weather,2022-01-19T00:13:57Z,Kozani,8133764,1,clear sky,01n,800,Clear,GR,*,ip-172-31-46-198,54,1030,0,1642571498000000000,1642606476000000000,-1.92,10000,340,3.6
weather,2022-01-19T01:13:54Z,Kozani,8133764,3,clear sky,01n,800,Clear,GR,*,ip-172-31-46-198,50,1029,0,1642571498000000000,1642606476000000000,-2.02,10000,350,4.12
weather,2022-01-19T02:13:51Z,Kozani,8133764,3,clear sky,01n,800,Clear,GR,*,ip-172-31-46-198,50,1030,0,1642571498000000000,1642606476000000000,-2.02,10000,360,4.63
weather,2022-01-19T03:13:53Z,Kozani,8133764,4,clear sky,01n,800,Clear,GR,*,ip-172-31-46-198,54,1030,0,1642571498000000000,1642606476000000000,-2.95,10000,40,3.09
weather,2022-01-19T04:13:50Z,Kozani,8133764,3,clear sky,01n,800,Clear,GR,*,ip-172-31-46-198,46,1030,0,1642571498000000000,1642606476000000000,-2.3,10000,340,4.12
weather,2022-01-19T05:13:53Z,Kozani,8133764,3,clear sky,01n,800,Clear,GR,*,ip-172-31-46-198,50,1030,0,1642571498000000000,1642606476000000000,-3.13,10000,360,3.6
weather,2022-01-19T06:14:25Z,Kozani,8133764,0,clear sky,01d,800,Clear,GR,*,ip-172-31-46-198,58,1030,0,1642571498000000000,1642606476000000000,-4.77,10000,0,0
weather,2022-01-19T07:13:52Z,Kozani,8133764,0,clear sky,01d,800,Clear,GR,*,ip-172-31-46-198,50,1031,0,1642571498000000000,1642606476000000000,-2.12,10000,0,0
weather,2022-01-19T08:13:53Z,Kozani,8133764,0,clear sky,01d,800,Clear,GR,*,ip-172-31-46-198,40,1031,0,1642571498000000000,1642606476000000000,-0.01,10000,350,3.6
weather,2022-01-19T09:13:58Z,Kozani,8133764,0,clear sky,01d,800,Clear,GR,*,ip-172-31-46-198,40,1031,0,1642571498000000000,1642606476000000000,1.1,10000,340,6.17
weather,2022-01-19T10:13:58Z,Kozani,8133764,0,clear sky,01d,800,Clear,GR,*,ip-172-31-46-198,38,1031,0,1642571498000000000,1642606476000000000,1.62,10000,30,5.66
weather,2022-01-19T11:13:54Z,Kozani,8133764,0,clear sky,01d,800,Clear,GR,*,ip-172-31-46-198,33,1030,0,1642571498000000000,1642606476000000000,3.8,10000,350,4.12
